id_venta,fecha,cliente_id,sucursal,metodo_pago,producto,categoria,cantidad,precio_unitario,total
1,2025-07-01,C0027,Centro,Tarjeta,Pan de dulce,Panadería,1,9.51,9.51
1,2025-07-01,C0027,Centro,Tarjeta,Detergente,Limpieza,2,53.32,106.64
1,2025-07-01,C0027,Centro,Tarjeta,Agua 1L,Bebidas,3,12.35,37.05
2,2025-07-01,C0025,Centro,Efectivo,Detergente,Limpieza,2,55.5,111.0
2,2025-07-01,C0025,Centro,Efectivo,Detergente,Limpieza,2,53.63,107.26
2,2025-07-01,C0025,Centro,Efectivo,Pan de dulce,Panadería,2,10.32,20.64
3,2025-07-01,C0041,Centro,Tarjeta,Pan de dulce,Panadería,3,10.03,30.09
3,2025-07-01,C0041,Centro,Tarjeta,Detergente,Limpieza,1,56.1,56.1
3,2025-07-01,C0041,Centro,Tarjeta,Agua 1L,Bebidas,2,12.56,25.12
3,2025-07-01,C0041,Centro,Tarjeta,Agua 1L,Bebidas,1,11.79,11.79
4,2025-07-01,C0030,Centro,Tarjeta,Agua 1L,Bebidas,1,12.4,12.4
4,2025-07-01,C0030,Centro,Tarjeta,Papel higiénico (4u),Limpieza,1,35.66,35.66
5,2025-07-01,C0013,Centro,Efectivo,Detergente,Limpieza,1,53.79,53.79
6,2025-07-01,C0108,Norte,Tarjeta,Pan de dulce,Panadería,2,9.51,19.02
6,2025-07-01,C0108,Norte,Tarjeta,Aceite 1L,Abarrotes,3,36.45,109.35
6,2025-07-01,C0108,Norte,Tarjeta,Detergente,Limpieza,2,52.47,104.94
7,2025-07-01,C0212,Centro,Efectivo,Detergente,Limpieza,2,53.2,106.4
7,2025-07-01,C0212,Centro,Efectivo,Detergente,Limpieza,2,55.82,111.64
8,2025-07-01,C0052,Norte,Efectivo,Detergente,Limpieza,1,56.96,56.96
8,2025-07-01,C0052,Norte,Efectivo,Detergente,Limpieza,3,56.01,168.03
9,2025-07-01,C0198,Del Valle,Tarjeta,Detergente,Limpieza,1,55.25,55.25
9,2025-07-01,C0198,Del Valle,Tarjeta,Detergente,Limpieza,1,55.69,55.69
9,2025-07-01,C0198,Del Valle,Tarjeta,Detergente,Limpieza,2,57.54,115.08
9,2025-07-01,C0198,Del Valle,Tarjeta,Detergente,Limpieza,1,53.39,53.39
10,2025-07-01,C0006,Centro,Efectivo,Detergente,Limpieza,2,54.37,108.74
10,2025-07-01,C0006,Centro,Efectivo,Huevo (docena),Abarrotes,2,30.47,60.94
10,2025-07-01,C0006,Centro,Efectivo,Detergente,Limpieza,3,53.68,161.04
11,2025-07-01,C0008,Norte,Tarjeta,Agua 1L,Bebidas,3,12.08,36.24
11,2025-07-01,C0008,Norte,Tarjeta,Detergente,Limpieza,2,57.7,115.4
11,2025-07-01,C0008,Norte,Tarjeta,Papel higiénico (4u),Limpieza,3,34.13,102.39
11,2025-07-01,C0008,Norte,Tarjeta,Detergente,Limpieza,1,57.37,57.37
11,2025-07-01,C0008,Norte,Tarjeta,Detergente,Limpieza,3,53.56,160.68
12,2025-07-01,C0114,Norte,Efectivo,Detergente,Limpieza,1,54.98,54.98
13,2025-07-01,C0024,Del Valle,Efectivo,Papel higiénico (4u),Limpieza,3,35.62,106.86
13,2025-07-01,C0024,Del Valle,Efectivo,Detergente,Limpieza,1,54.96,54.96
13,2025-07-01,C0024,Del Valle,Efectivo,Aceite 1L,Abarrotes,1,36.45,36.45
13,2025-07-01,C0024,Del Valle,Efectivo,Papel higiénico (4u),Limpieza,1,35.19,35.19
14,2025-07-01,C0114,Norte,Tarjeta,Papel higiénico (4u),Limpieza,3,35.16,105.48
14,2025-07-01,C0114,Norte,Tarjeta,Papel higiénico (4u),Limpieza,1,33.66,33.66
14,2025-07-01,C0114,Norte,Tarjeta,Cigarros (caja),Otros,1,66.7,66.7
14,2025-07-01,C0114,Norte,Tarjeta,Agua 1L,Bebidas,3,11.52,34.56
14,2025-07-01,C0114,Norte,Tarjeta,Detergente,Limpieza,2,54.59,109.18
15,2025-07-01,C0030,Del Valle,Efectivo,Agua 1L,Bebidas,1,12.54,12.54
15,2025-07-01,C0030,Del Valle,Efectivo,Papel higiénico (4u),Limpieza,2,35.32,70.64
15,2025-07-01,C0030,Del Valle,Efectivo,Detergente,Limpieza,3,56.14,168.42
15,2025-07-01,C0030,Del Valle,Efectivo,Arroz 1kg,Abarrotes,2,22.61,45.22
15,2025-07-01,C0030,Del Valle,Efectivo,Detergente,Limpieza,2,56.13,112.26
16,2025-07-01,C0183,Centro,Efectivo,Detergente,Limpieza,3,56.34,169.02
16,2025-07-01,C0183,Centro,Efectivo,Detergente,Limpieza,2,55.46,110.92
16,2025-07-01,C0183,Centro,Efectivo,Detergente,Limpieza,1,54.45,54.45
16,2025-07-01,C0183,Centro,Efectivo,Detergente,Limpieza,1,52.71,52.71
16,2025-07-01,C0183,Centro,Efectivo,Detergente,Limpieza,2,53.48,106.96
17,2025-07-01,C0138,Del Valle,Tarjeta,Agua 1L,Bebidas,3,11.49,34.47
17,2025-07-01,C0138,Del Valle,Tarjeta,Papel higiénico (4u),Limpieza,2,35.45,70.9
17,2025-07-01,C0138,Del Valle,Tarjeta,Jabón de baño,Limpieza,1,13.71,13.71
17,2025-07-01,C0138,Del Valle,Tarjeta,Pan de dulce,Panadería,2,10.13,20.26
17,2025-07-01,C0138,Del Valle,Tarjeta,Detergente,Limpieza,3,54.36,163.08
18,2025-07-01,C0004,Centro,Transferencia,Chicharrón,Botanas,2,19.78,39.56
18,2025-07-01,C0004,Centro,Transferencia,Queso 250g,Lácteos,1,43.95,43.95
18,2025-07-01,C0004,Centro,Transferencia,Pan de dulce,Panadería,3,10.47,31.41
18,2025-07-01,C0004,Centro,Transferencia,Detergente,Limpieza,1,56.09,56.09
19,2025-07-01,C0021,Centro,Tarjeta,Chicharrón,Botanas,2,20.84,41.68
19,2025-07-01,C0021,Centro,Tarjeta,Agua 1L,Bebidas,2,12.52,25.04
19,2025-07-01,C0021,Centro,Tarjeta,Papel higiénico (4u),Limpieza,1,35.18,35.18
19,2025-07-01,C0021,Centro,Tarjeta,Detergente,Limpieza,1,52.4,52.4
19,2025-07-01,C0021,Centro,Tarjeta,Detergente,Limpieza,2,56.53,113.06
20,2025-07-01,C0216,Centro,Tarjeta,Papel higiénico (4u),Limpieza,1,36.2,36.2
21,2025-07-01,C0005,Centro,Efectivo,Agua 1L,Bebidas,1,12.07,12.07
21,2025-07-01,C0005,Centro,Efectivo,Detergente,Limpieza,2,56.24,112.48
21,2025-07-01,C0005,Centro,Efectivo,Detergente,Limpieza,1,56.92,56.92
21,2025-07-01,C0005,Centro,Efectivo,Cigarros (caja),Otros,1,63.32,63.32
21,2025-07-01,C0005,Centro,Efectivo,Cigarros (caja),Otros,3,62.59,187.77
22,2025-07-01,C0021,Centro,Tarjeta,Aceite 1L,Abarrotes,2,38.65,77.3
22,2025-07-01,C0021,Centro,Tarjeta,Chicharrón,Botanas,3,19.95,59.85
23,2025-07-01,C0039,Del Valle,Tarjeta,Agua 1L,Bebidas,2,12.34,24.68
23,2025-07-01,C0039,Del Valle,Tarjeta,Detergente,Limpieza,3,56.12,168.36
23,2025-07-01,C0039,Del Valle,Tarjeta,Detergente,Limpieza,2,57.22,114.44
